Name,Organization,Provider Type,Facility Type,Address,Suburb,Postcode,Phone,Website,group_services_standardized,individual_services_standardized,associated_services_standardized,Verification Notes (as of Oct 2025),City_Sheet,State,latitude,longitude,geocode_accuracy,geocode_source,geocode_display_name
Griffith Psychology Clinic Mt Gravatt,Griffith University,University,Training Clinic,176 Messines Ridge Road,Mt Gravatt,4122,07 3735 3335,https://www.griffith.edu.au/griffith-health/clinics/psychology,support_group,psychology; counselling,low_cost_service,Verified. A low-cost teaching clinic providing therapy services to the public. Contact for fees and wait times.,Brisbane_clean,QLD,-27.5433566,153.0654468,high,Nominatim,"Yarranlea Primary School, 176, Messines Ridge Road, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia"
Brisbane Head and Neck Cancer Support Group,Support Group,Peer Support,Community Group,Meeting locations vary,Brisbane,4000,Facebook,https://www.facebook.com/HeadAndNeckCancerSupportAustralia/,support_group; education,peer_support,none,Verified community group. Meeting times and locations are volatile and must be confirmed via Facebook.,Brisbane_clean,QLD,,,failed,,
Brisbane Brain Tumour Support Group,Support Group,Peer Support,Community Group,"Brisbane City Library, Toowong",Toowong,4066,Email,braintsg@gmail.com,support_group,peer_support,none,Verified community group. Meeting times and locations are volatile and must be confirmed via email.,Brisbane_clean,QLD,,,failed,,
Look Good Feel Better Queensland,Look Good Feel Better,NGO/Charity,Appearance Support,Multiple locations,Brisbane,4000,1800 650 960,https://lgfb.org.au/,education,wig_service; confidence_coaching,online_resources,Verified. National program with workshops at various Brisbane locations. Central booking required.,Brisbane_clean,QLD,,,failed,,
PA Hospital Lymphoedema Service,PA Hospital,Public Hospital,Hospital Service,199 Ipswich Road,Woolloongabba,4102,07 3176 2111,https://metrosouth.health.qld.gov.au/pa-hospital,education,physiotherapy; lymphoedema_therapy,exercise,Verified. A specialized public service within the PA Hospital. Requires a medical referral.,Brisbane_clean,QLD,-27.4987917,153.0328694,high,Nominatim,"Princess Alexandra Hospital, 199, Ipswich Road, Buranda, Woolloongabba, Greater Brisbane, Queensland, 4102, Australia"
Ronald McDonald House Brisbane,Ronald McDonald House Charities,NGO/Charity,Accommodation,Herston,Herston,4006,07 3638 5300,https://www.rmhc.org.au/,support_group,none,accommodation_assistance; sibling_support,Verified. Essential accommodation service for families of seriously ill children undergoing treatment.,Brisbane_clean,QLD,-27.4467898,153.0227913,high,Nominatim,"Herston, Greater Brisbane, Queensland, 4029, Australia"
McGrath Breast Care Nurse (RBWH),McGrath Foundation,NGO/Charity,Nursing Support,Butterfield Street,Herston,4006,07 3646 8111,https://www.mcgrathfoundation.com.au/,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the RBWH oncology team. Access via hospital referral or McGrath Foundation.,Brisbane_clean,QLD,-27.4445912,153.0184425,high,Nominatim,"Butterfield Street, Herston, Greater Brisbane, Queensland, 4006, Australia"
McGrath Breast Care Nurse (PA Hospital),McGrath Foundation,NGO/Charity,Nursing Support,199 Ipswich Road,Woolloongabba,4102,07 3176 2111,https://www.mcgrathfoundation.com.au/,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the PA Hospital oncology team. Access via hospital referral or McGrath Foundation.,Brisbane_clean,QLD,-27.4987917,153.0328694,high,Nominatim,"Princess Alexandra Hospital, 199, Ipswich Road, Buranda, Woolloongabba, Greater Brisbane, Queensland, 4102, Australia"
McGrath Breast Care Nurse (Mater),McGrath Foundation,NGO/Charity,Nursing Support,Raymond Terrace,South Brisbane,4101,07 3163 8111,https://www.mcgrathfoundation.com.au/,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the Mater cancer services. Access via hospital referral or McGrath Foundation.,Brisbane_clean,QLD,-27.4841517,153.0260102,high,Nominatim,"Raymond Terrace, South Brisbane, Greater Brisbane, Queensland, 4101, Australia"
Sir Charles Gairdner Hospital Comprehensive Cancer Centre,SCGH/North Metropolitan Health Service,Public Hospital,Hospital,"Hospital Avenue, DD Block",Nedlands,6009,08 6457 3333,https://www.scgh.health.wa.gov.au,support_group,radiation_therapy; chemotherapy; clinical_trials,psychology; social_work; dietetics; nursing_support,Verified. A primary public tertiary cancer centre for Perth's northern metropolitan region.,Perth_clean,WA,,,failed,,
Fiona Stanley Hospital State Cancer Centre,FSH/South Metropolitan Health Service,Public Hospital,Hospital,11 Robin Warren Drive,Murdoch,6150,08 6152 2222,https://fsfhg.health.wa.gov.au,support_group,medical_oncology; haematology; telehealth,psychology; social_work; dietetics; aboriginal_liaison,Verified. A primary public tertiary cancer centre for Perth's southern metropolitan region.,Perth_clean,WA,-32.0727581,115.8486157,high,Nominatim,"Fiona Wood Rd After Jennalup St, 11, Robin Warren Drive, Murdoch, City of Melville, Western Australia, 6150, Australia"
Royal Perth Hospital Medical Oncology Unit,RPH/East Metropolitan Health Service,Public Hospital,Hospital,197 Wellington Street,Perth,6000,08 9224 2244,https://rph.health.wa.gov.au,support_group,medical_oncology; chemotherapy; clinical_trials,psychology; social_work; allied_health,Verified. Major tertiary hospital providing specialized medical oncology services.,Perth_clean,WA,-31.9533073,115.865901,high,Nominatim,"Royal Perth`Hospital, 197, Wellington Street, Perth, City of Perth, Western Australia, 6000, Australia"
Joondalup Health Campus Cancer Care Unit,Joondalup Health Campus,Public/Private Hospital,Hospital,60 Shenton Avenue,Joondalup,6027,08 9400 9400,https://www.joondaluphealthcampus.com.au,support_group,chemotherapy; radiation_therapy,psychology; allied_health,Verified. A major public and private hospital serving Perth's northern corridor.,Perth_clean,WA,-31.7383714,115.7708516,high,Nominatim,"Suite 115, 60, Shenton Avenue, Joondalup, City of Joondalup, Western Australia, 6027, Australia"
Perth Children's Hospital Oncology,PCH/Child & Adolescent Health Service,Public Hospital,Hospital,15 Hospital Avenue,Nedlands,6009,08 6456 2222,https://pch.health.wa.gov.au,support_group,pediatric_oncology; clinical_trials,psychology; social_work; child_life_therapy,Verified. The dedicated statewide service for children and adolescents with cancer.,Perth_clean,WA,-31.967641,115.8167331,high,Nominatim,"Hospital Avenue, Nedlands, Perth, City of Perth, Western Australia, 6009, Australia"
Cancer Council WA,Cancer Council,NGO,Support Service,15 Bedbrook Place,Shenton Park,6008,13 11 20,https://cancerwa.asn.au,exercise; yoga; meditation/mindfulness; support_group,counselling; wig_service,financial_assistance; psychology; social_work; transport_assistance; accommodation_assistance,"Verified. Peak state charity providing extensive support, including the Life Now wellness programs.",Perth_clean,WA,-31.9555603,115.7998197,high,Nominatim,"Bedbrook Place, Shenton Park, City of Nedlands, Western Australia, 6014, Australia"
Crawford Lodge,Cancer Council WA,NGO,Accommodation,55 Monash Avenue,Nedlands,6009,08 9489 7333,https://cancerwa.asn.au,support_group,none,accommodation_assistance,"Verified. A major accommodation lodge for regional patients, operated by Cancer Council WA.",Perth_clean,WA,-31.9705452,115.8176118,high,Nominatim,"Monash Avenue, Nedlands, Perth, City of Perth, Western Australia, 6009, Australia"
Milroy Lodge,Cancer Council WA,NGO,Accommodation,15 Bedbrook Place,Shenton Park,6008,08 9382 9333,https://cancerwa.asn.au,support_group,none,accommodation_assistance; transport_assistance,Verified. A key accommodation lodge co-located with Cancer Council's head office.,Perth_clean,WA,-31.9555603,115.7998197,high,Nominatim,"Bedbrook Place, Shenton Park, City of Nedlands, Western Australia, 6014, Australia"
Leukaemia Foundation WA,Leukaemia Foundation,NGO,Support Service,4 Baumea Way,Innaloo,6018,08 6241 1000,https://www.leukaemia.org.au,support_group,care_coordination,transport_assistance; financial_assistance; social_work; accommodation_assistance,Verified. The primary WA support service for all blood cancers.,Perth_clean,WA,-31.8950927,115.8025208,high,Nominatim,"Baumea Way, Innaloo, City of Stirling, Western Australia, 6018, Australia"
Stirling Cross Blood Cancer Centre,Leukaemia Foundation,NGO,Accommodation,4 Baumea Way,Innaloo,6018,1800 620 420,https://www.leukaemia.org.au,support_group,none,accommodation_assistance,Verified. Purpose-built accommodation for regional blood cancer patients.,Perth_clean,WA,-31.8950927,115.8025208,high,Nominatim,"Baumea Way, Innaloo, City of Stirling, Western Australia, 6018, Australia"
Solaris Cancer Care Cottesloe,Solaris Cancer Care,NGO,Wellness Centre,80 Railway Street,Cottesloe,6011,08 9384 3544,https://solariscancercare.org.au,meditation/mindfulness; support_group; yoga,counselling; oncology_massage; reflexology; telehealth,complementary_therapies,"Verified. The main community-based centre for Solaris, offering a wide range of complementary therapies.",Perth_clean,WA,-31.9979343,115.7610774,high,Nominatim,"Railway Street, Cottesloe, Town of Cottesloe, Western Australia, 6011, Australia"
Solaris Cancer Care SCGH,Solaris Cancer Care,NGO,Hospital Support Centre,"Sir Charles Gairdner Hospital, DD Block",Nedlands,6009,08 6383 3475,https://solariscancercare.org.au,support_group; meditation/mindfulness,counselling; complementary_therapies,hospital_integration,Verified. An in-hospital support centre providing therapies and a quiet space for SCGH patients.,Perth_clean,WA,,,failed,,
CanTeen WA Youth Cancer Service,CanTeen,NGO,Youth Support,"SCGH, WA Comprehensive Cancer Centre",Nedlands,6009,08 6383 3416,https://www.canteen.org.au,support_group; exercise,counselling; telehealth,education_support; fertility_counselling,"Verified. Specialist service for young people (15-25), based at Sir Charles Gairdner Hospital.",Perth_clean,WA,,,failed,,
Camp Quality WA,Camp Quality,NGO,Children's Support,Perth region,Perth,6000,1300 662 267,https://www.campquality.org.au,support_group,counselling; in_hospital_support,accommodation_assistance; education_support,Verified. A major charity providing camps and recreational programs for children with cancer.,Perth_clean,WA,,,failed,,
Redkite WA,Redkite,NGO,Childhood Cancer Support,Perth Children's Hospital,Nedlands,6009,1800 592 420,https://www.redkite.org.au,support_group,counselling; social_work,financial_assistance; education_support,"Verified. Provides essential financial and practical support to families, with a presence at PCH.",Perth_clean,WA,-31.9693254,115.8170862,high,Nominatim,"Perth Children's Hospital, Winthrop Avenue, Nedlands, Perth, City of Perth, Western Australia, 6009, Australia"
Breast Cancer Care WA,Breast Cancer Care WA,NGO,Support Service,80 Railway Street,Cottesloe,6011,08 9324 3703,https://www.breastcancer.org.au,support_group,counselling,financial_assistance; practical_assistance,Verified. A dedicated WA-based charity providing personalized support for breast cancer patients.,Perth_clean,WA,-31.9979343,115.7610774,high,Nominatim,"Railway Street, Cottesloe, Town of Cottesloe, Western Australia, 6011, Australia"
Breast Cancer Research Centre WA,BCRC-WA,NGO,Research/Treatment,Hollywood Consulting Centre,Nedlands,6009,08 6500 5501,https://bcrc-wa.com.au,support_group,clinical_trials; psychology,nursing_support; genetic_counselling,Verified. A specialist centre focused on breast cancer clinical trials and research.,Perth_clean,WA,-31.968488,115.8100302,high,Nominatim,"Hollywood Consulting Centre & Endoscopy Suite, 91, Monash Avenue, Nedlands, City of Nedlands, Western Australia, 6009, Australia"
Look Good Feel Better WA,Cancer Patients Foundation,NGO,Workshop Program,Various locations,Perth,6000,1800 650 906,https://lgfb.org.au,education,wig_service; confidence_coaching,online_resources,Verified. National program with workshops at various Perth locations. Central booking required.,Perth_clean,WA,,,failed,,
Curtin Adult Psychology Clinic,Curtin University,University Clinic,Teaching Clinic,"Building 404, Kent Street",Bentley,6102,08 9266 1717,https://www.curtin.edu.au,support_group,psychology; telehealth,low_cost_service; medicare_rebates,Verified. A low-cost teaching clinic providing therapy services to the public. Contact for fees and wait times.,Perth_clean,WA,,,failed,,
Murdoch Psychology Clinic,Murdoch University,University Clinic,Teaching Clinic,"Building 440, 90 South Street",Murdoch,6150,08 9360 2570,https://www.murdoch.edu.au,support_group,psychology; counselling,low_cost_service,Verified. A low-cost teaching clinic providing therapy services to the public. Contact for fees and wait times.,Perth_clean,WA,,,failed,,
Silver Chain Palliative Care,Silver Chain,Community Service,Palliative Care,6 Sundercombe Street,Osborne Park,6017,1300 650 803,https://www.silverchain.org.au,support_group,palliative_care; respite_care,bereavement_support; in_home_care,Verified. A major community provider of in-home and inpatient palliative care services.,Perth_clean,WA,-31.9053852,115.8114077,high,Nominatim,"Silverchain, 6, Sundercombe Street, Osborne Park, City of Stirling, Western Australia, 6017, Australia"
Lions Cancer Institute,Lions Club,NGO,Support Service,Mobile service,Perth,6000,0428 957 864,https://www.lionscancerinstitute.org.au,education,skin_cancer_screening; wig_service,transport_assistance,Verified. A volunteer-run service providing mobile skin cancer screening and regional patient support.,Perth_clean,WA,,,failed,,
Carers WA,Carers WA,NGO,Carer Support,182 Lord Street,Perth,6000,1300 227 377,https://www.carerswa.asn.au,support_group; education,counselling; respite_care,advocacy,"Verified. The peak body in WA providing support, advocacy, and education for all carers.",Perth_clean,WA,-31.9510991,115.8682453,high,Nominatim,"Lord Street, East Perth, Perth, City of Perth, Western Australia, 6000, Australia"
Make-A-Wish Australia WA,Make-A-Wish,NGO,Wish Granting,"Unit 1, 517 Wanneroo Road",Balcatta,6021,08 9345 8988,https://www.makeawish.org.au,none,none,family_support,Verified. The WA branch of the national charity that grants wishes to children with critical illnesses.,Perth_clean,WA,,,failed,,
Starlight Children's Foundation WA,Starlight Foundation,NGO,Hospital Support,Perth Children's Hospital,Nedlands,6009,1300 727 827,https://starlight.org.au,none,none,in_hospital_support,Verified. Provides in-hospital entertainment and support via the Starlight Express Room at PCH.,Perth_clean,WA,-31.9693254,115.8170862,high,Nominatim,"Perth Children's Hospital, Winthrop Avenue, Nedlands, Perth, City of Perth, Western Australia, 6009, Australia"
McGrath Breast Care Nurse (SCGH),McGrath Foundation,NGO,Nursing Support,Hospital Avenue,Nedlands,6009,08 6457 3333,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the SCGH oncology team. Access via hospital referral or McGrath Foundation.,Perth_clean,WA,-31.967641,115.8167331,high,Nominatim,"Hospital Avenue, Nedlands, Perth, City of Perth, Western Australia, 6009, Australia"
McGrath Breast Care Nurse (FSH),McGrath Foundation,NGO,Nursing Support,11 Robin Warren Drive,Murdoch,6150,08 6152 2222,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the Fiona Stanley Hospital oncology team. Access via hospital or McGrath Foundation.,Perth_clean,WA,-32.0727581,115.8486157,high,Nominatim,"Fiona Wood Rd After Jennalup St, 11, Robin Warren Drive, Murdoch, City of Melville, Western Australia, 6150, Australia"
McGrath Breast Care Nurse (Joondalup),McGrath Foundation,NGO,Nursing Support,60 Shenton Avenue,Joondalup,6027,08 9400 9400,https://www.mcgrathfoundation.com.au,support_group; education,nursing_support; care_coordination,psychosocial_support,Verified. Nurse embedded within the Joondalup Health Campus. Access via hospital or McGrath Foundation.,Perth_clean,WA,-31.7383714,115.7708516,high,Nominatim,"Suite 115, 60, Shenton Avenue, Joondalup, City of Joondalup, Western Australia, 6027, Australia"
Alan Walker Cancer Care Centre,Royal Darwin Hospital,Public Hospital,Tertiary Hospital,105 Rocklands Drive,Tiwi,810,08 8944 8220,https://nt.gov.au/wellbeing/hospitals-health-services/cancer-services,support_group; education,radiation_therapy; medical_oncology; chemotherapy; clinical_trials,telehealth; aboriginal_liaison,Verified. The primary tertiary cancer centre for the NT and the only radiation oncology provider.,Darwin_clean,NT,-12.3591339,130.882866,high,Nominatim,"Rocklands Drive, Tiwi, City of Darwin, Northern Territory, 0810, Australia"
Royal Darwin Hospital,NT Health,Public Hospital,Tertiary Hospital,105 Rocklands Drive,Tiwi,810,08 8922 8888,https://nt.gov.au/wellbeing/hospitals-health-services/royal-darwin-hospital,support_group,surgical_oncology; palliative_care,aboriginal_liaison,"Verified. The main tertiary hospital for the Top End, providing surgical and palliative care services.",Darwin_clean,NT,-12.3591339,130.882866,high,Nominatim,"Rocklands Drive, Tiwi, City of Darwin, Northern Territory, 0810, Australia"
Alice Springs Hospital Cancer Services,NT Health,Public Hospital,Regional Hospital,Gap Road,Alice Springs,870,08 8951 7777,https://nt.gov.au/wellbeing/hospitals-health-services/alice-springs-hospital,support_group; education,chemotherapy; medical_oncology,telehealth; aboriginal_liaison,"Verified. The key regional hub for Central Australia, providing local chemotherapy with visiting specialists.",Darwin_clean,NT,-23.7055791,133.8796691,high,Nominatim,"Gap Road, The Gap, Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia"
Barbara James House,YWCA Australia,NGO,Accommodation,Near Royal Darwin Hospital,Darwin,800,Via PATS,https://www.ywca.org.au/,support_group,none,accommodation_assistance; transport_assistance,"Verified. A key accommodation provider for regional patients, accessed via the PATS scheme.",Darwin_clean,NT,,,failed,,
Cancer Council NT,Cancer Council NT,NGO,Support Service,Tiwi,Tiwi,810,08 8944 1800,https://nt.cancer.org.au/,support_group,wig_service,financial_assistance; transport_assistance; accommodation_assistance,"Verified. The primary non-profit cancer support organization in the NT, based at the Alan Walker Centre.",Darwin_clean,NT,-12.3643918,130.8790835,high,Nominatim,"Tiwi Gardens Road, Tiwi, Darwin, City of Darwin, Northern Territory, 0810, Australia"
Leukaemia Foundation SA/NT,Leukaemia Foundation,NGO,Blood Cancer Support,Adelaide-based,Darwin,800,1800 620 420,https://www.leukaemia.org.au,support_group,none,financial_assistance; accommodation_assistance,Verified. Provides support to NT blood cancer patients via telehealth and fly-in/fly-out services from Adelaide.,Darwin_clean,NT,,,failed,,
CanTeen Youth Cancer Service NT,CanTeen Australia,NGO,Youth Service,Royal Darwin Hospital,Tiwi,810,1800 835 932,https://www.canteen.org.au,support_group,counselling; psychology; social_work,education_support,"Verified. A dedicated service for young people (15-25) with cancer, based at Royal Darwin Hospital.",Darwin_clean,NT,-12.3548594,130.8826678,high,Nominatim,"Royal Darwin Hospital, Florey Avenue, Tiwi, City of Darwin, Northern Territory, 0810, Australia"
Camp Quality NT,Camp Quality,NGO,Children's Service,National service,Darwin,800,1300 662 267,https://www.campquality.org.au,support_group,in_hospital_support,family_camps,Verified. National organization providing camps and recreational programs for children with cancer in the NT.,Darwin_clean,NT,,,failed,,
Redkite NT,Redkite,NGO,Family Support,National service,Darwin,800,1800 733 548,https://www.redkite.org.au,support_group,counselling; social_work,financial_assistance,Verified. National organization providing essential financial and practical support to NT families.,Darwin_clean,NT,,,failed,,
Territory Palliative Care (Top End),NT Health,Government,Palliative Care,Royal Darwin Hospital campus,Tiwi,810,08 8922 8888,https://nt.gov.au/wellbeing/palliative-care/palliative-care-services-in-the-top-end,support_group,palliative_care; in_home_care,bereavement_support; respite_care,"Verified. The primary government palliative care service for the Top End, including a 12-bed hospice.",Darwin_clean,NT,,,failed,,
Danila Dilba Health Service,Aboriginal Community Controlled,ACCHO,Primary Health,7 clinics Greater Darwin,Darwin,800,08 8942 5400,https://www.ddhs.org.au,education,cancer_screening; primary_care,aboriginal_liaison; culturally_safe_care,Verified. The key Aboriginal Community Controlled Health Organisation for the Greater Darwin region.,Darwin_clean,NT,,,failed,,
Aboriginal Interpreter Service,NT Health,Government,Language Service,Royal Darwin Hospital,Tiwi,810,Via hospital,https://nt.gov.au/community/interpreting-and-translating-services,none,medical_interpretation,cultural_liaison,Verified. An essential service for providing safe and effective healthcare communication.,Darwin_clean,NT,-12.3548594,130.8826678,high,Nominatim,"Royal Darwin Hospital, Florey Avenue, Tiwi, City of Darwin, Northern Territory, 0810, Australia"
BreastScreen NT,NT Health,Government,Screening,Darwin and Alice Springs,Darwin,800,13 20 50,https://nt.gov.au/wellbeing/preventative-health/breastscreennt,education,cancer_screening,mobile_screening_van,"Verified. The official government breast screening service, with a clinic in Darwin and mobile units.",Darwin_clean,NT,,,failed,,
Carers NT,Peak Body,NGO,Carer Support,59 Smith Street,Darwin,800,1800 242 636,https://www.carersnt.asn.au,support_group,counselling; respite_care,advocacy,Verified. The peak advocacy and support body for all carers in the NT.,Darwin_clean,NT,-12.4624225,130.8407033,high,Nominatim,"Darwin City Hotel, 59, Smith Street, One Mile Dam, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia"
McGrath Breast Care Nurse (Top End),McGrath Foundation,NGO,Nursing Support,Royal Darwin Hospital,Tiwi,810,08 8922 8888,https://www.mcgrathfoundation.com.au/,support_group; education,nursing_support; care_coordination,psychosocial_support,"Verified. Nurse is embedded within the RDH team, covering the Top End region. Access via hospital or McGrath Foundation.",Darwin_clean,NT,-12.3548594,130.8826678,high,Nominatim,"Royal Darwin Hospital, Florey Avenue, Tiwi, City of Darwin, Northern Territory, 0810, Australia"
McGrath Breast Care Nurse (Central Australia),McGrath Foundation,NGO,Nursing Support,Alice Springs Hospital,Alice Springs,870,08 8951 7777,https://www.mcgrathfoundation.com.au/,support_group; education,nursing_support; care_coordination,psychosocial_support,"Verified. Nurse is embedded within Alice Springs Hospital, covering the Central Australia region. Access via hospital or McGrath.",Darwin_clean,NT,-23.7058769,133.8780113,high,Nominatim,"Alice Springs Hospital, Yarabah Court, Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia"
